id,category,tweet_content,reply_1,reply_2,reply_3,reply_4,reply_5,reply_6
1,sarcastic,@someuser the pacers and hibbert suck,@SomeUser here we go how did game two go?  U know glad u can dish it out but can't take it,,,,,,,,,
2,negative,i rally wear my jays....shid matta of fact any if em if i aint goin out no where...  somelink,@SomeUser u fadin the scene wit us friday bro,@SomeUser yea Whitney hit me up yday,@SomeUser bet..boys night I miss u niggah,@SomeUser aite...lol miss ya too mayne,,,,,,
3,sarcastic,if i could have one wish it would be for more singers in the final of bgt. there aren‚Äôt nearly enough for my liking. ,,,,,,,,,,
4,sarcastic,a night of no sleep so excited..... homework finals,,,,,,,,,,
5,sarcastic,my oh my what a lovely day thus far weekendssuck,,,,,,,,,,
6,negative,how have you moved on? it's been 5 days... ouch hurtful ,,,,,,,,,,
7,sarcastic,@someuser is just too awesome for not messaging me back...,,,,,,,,,,
8,negative,when i was a kid, I always thought I‚Äôd be just like Kim Possible. Turns out, I am Wade. depressed LOL,,,,,,,,
9,sarcastic,rt @someuser: @someuser @someuser hahaha funny thing is this is so true. barkers life = so tough.,,,,,,,,,,
10,positive,the atmosphere here is fantastic buzzing fashionshow  fashion,,,,,,,,,,
11,negative,i wish i lived in abby. words i never thought i would say... i really just want a bed nap exhausted farawayhouse  canihaveyours,,,,,,,,,,
12,sarcastic,little league season opener at 7pm. someone famous is throwing out the 1st pitch. can't believe they didn't ask me.,,,,,,,,,,
13,sarcastic,huzzah. working out today. yay.,,,,,,,,,,
14,negative,i still don't know what car to choose _üò© ,,,,,,,,,,
15,positive,finished 3 hours early from work today! wahooooo! :d never has this ever happened to meeee lol ,,,,,,,,,,
16,negative,rt @someuser: kids and there electronic these days  noimagination _üò__üëä,,,,,,,,,,
17,negative,@someuser: if everyone is pleased with you, but God isn't what have you gained? Nothing ,,,,,,,,,
18,negative,igbo dudes stay losing...  butwhy,,,,,,,,,,
19,sarcastic,rt @someuser: 6 finals tomorrow..gonna b fun!,,,,,,,,,,
20,negative,some people just don't get it annoyed  disappointed,,,,,,,,,,
21,sarcastic,rt @someuser: matt kemp flew terminally ill cancer patient and dodger fan joshua jones to the game yesterday. booooooo! ,,,,,,,,,,
22,sarcastic,@someuser um, duh? Women are perfect creatures, men deserve punishment because they're the source of all evil in the world.,The issue I have is that she seems to imply that these situations would be okay, if the victimized character is a male. Heavily so.,,,,,,
23,sarcastic,my muse has finally come back to me. angst ridden singing adele. my writing promises to be rainbows and unicorns.,,,,,,,,,,
24,sarcastic,yeah holding a magnet to your acne will definitely cure it. because that makes complete sense.,,,,,,,,,,
25,positive,actually made my day being told i'm getting my braces off in literally just over a month ,,,,,,,,,,
